order_id,customer_id,order_date,month,quarter,year,order_status,sales_channel,payment_method,discount_pct,subtotal,shipping_cost,order_total,delivery_days
O00048,C0321,11/22/2022,November,Q4,2022,Delivered,Online,Apple Pay,0.1,1075.67,0,1075.67,14
O00049,C0344,5/9/2022,May,Q2,2022,Delivered,Online,Credit Card,0,524.81,0,524.81,11
O00050,C0413,3/2/2023,March,Q1,2023,Delivered,Mobile App,Debit Card,0.05,729.71,0,729.71,8
O00051,C0434,8/31/2022,August,Q3,2022,Delivered,Mobile App,Google Pay,0,1167.96,0,1167.96,3
O00052,C0374,6/24/2023,June,Q2,2023,Pending,Mobile App,Credit Card,0.1,1351.76,0,1351.76,
O00053,C0314,2/24/2022,February,Q1,2022,Delivered,Online,Apple Pay,0.1,640.65,0,640.65,12
O00054,C0473,9/4/2023,September,Q3,2023,Cancelled,Online,Apple Pay,0.1,493.21,0,493.21,
O00055,C0249,3/26/2022,March,Q1,2022,Delivered,In-Store,PayPal,0,416.9,0,416.9,10
O00056,C0090,8/29/2023,August,Q3,2023,Pending,In-Store,Debit Card,0,808.75,0,808.75,
O00057,C0176,3/28/2022,March,Q1,2022,Delivered,Online,Apple Pay,0.2,771,0,771,4
O00058,C0296,12/20/2022,December,Q4,2022,Cancelled,Online,Credit Card,0,413.32,0,413.32,
O00059,C0155,5/3/2023,May,Q2,2023,Delivered,Online,Apple Pay,0,544.88,0,544.88,7
O00060,C0348,11/20/2022,November,Q4,2022,Delivered,Mobile App,PayPal,0.2,211.32,0,211.32,6
O00061,C0139,10/1/2022,October,Q4,2022,Cancelled,Mobile App,Apple Pay,0.05,498.81,0,498.81,
O00062,C0376,11/20/2023,November,Q4,2023,Delivered,Mobile App,PayPal,0.1,299.12,0,299.12,2
O00063,C0269,4/17/2022,April,Q2,2022,Delivered,Mobile App,PayPal,0,1943.57,0,1943.57,2
O00064,C0439,9/12/2023,September,Q3,2023,Delivered,Mobile App,Debit Card,0,502.84,0,502.84,11
O00065,C0233,10/11/2022,October,Q4,2022,Delivered,In-Store,Debit Card,0.2,1047.09,0,1047.09,8
O00066,C0476,7/25/2022,July,Q3,2022,Delivered,Online,Credit Card,0,1449.96,0,1449.96,10
O00067,C0373,9/14/2022,September,Q3,2022,Delivered,Online,Debit Card,0.15,861.32,0,861.32,12
O00068,C0482,5/18/2023,May,Q2,2023,Delivered,Online,Credit Card,0.1,1115.54,0,1115.54,7
O00069,C0029,10/10/2023,October,Q4,2023,Delivered,Mobile App,PayPal,0,398.6,0,398.6,3
O00070,C0284,2/10/2022,February,Q1,2022,Returned,In-Store,Apple Pay,0,713.28,0,713.28,
O00071,C0369,8/31/2023,August,Q3,2023,Pending,Online,Credit Card,0.2,722.34,0,722.34,
O00072,C0495,1/17/2022,January,Q1,2022,Delivered,Online,PayPal,0.2,250.52,0,250.52,4
O00073,C0414,11/1/2023,November,Q4,2023,Delivered,Mobile App,Debit Card,0,898.9,0,898.9,11
O00074,C0026,11/11/2022,November,Q4,2022,Pending,Mobile App,Debit Card,0.2,109.07,0,109.07,
O00075,C0059,5/25/2023,May,Q2,2023,Delivered,Mobile App,Apple Pay,0,811.01,0,811.01,9
O00076,C0071,11/26/2022,November,Q4,2022,Delivered,Mobile App,Debit Card,0,741.7,0,741.7,12
O00077,C0190,7/21/2023,July,Q3,2023,Pending,Mobile App,Google Pay,0,333.41,0,333.41,
O00078,C0009,5/14/2023,May,Q2,2023,Delivered,Online,Debit Card,0,519.9,0,519.9,7
O00079,C0356,5/3/2023,May,Q2,2023,Returned,Mobile App,PayPal,0.1,317.43,0,317.43,
O00080,C0306,7/4/2022,July,Q3,2022,Delivered,In-Store,PayPal,0.05,1038.36,0,1038.36,8
O00081,C0395,10/4/2023,October,Q4,2023,Cancelled,Online,Debit Card,0,411.1,0,411.1,
O00082,C0344,2/14/2022,February,Q1,2022,Delivered,In-Store,Debit Card,0.05,375.84,0,375.84,13
O00083,C0456,4/10/2023,April,Q2,2023,Delivered,Online,Google Pay,0,103.61,0,103.61,9
O00084,C0060,3/14/2022,March,Q1,2022,Pending,Mobile App,Google Pay,0,463.24,0,463.24,
O00085,C0167,8/22/2022,August,Q3,2022,Returned,Online,Debit Card,0.05,141.67,0,141.67,
O00086,C0300,5/12/2023,May,Q2,2023,Delivered,Mobile App,Debit Card,0.1,144.02,0,144.02,6
O00087,C0070,4/14/2023,April,Q2,2023,Delivered,In-Store,Debit Card,0,641.55,0,641.55,3
O00088,C0057,4/22/2023,April,Q2,2023,Delivered,Mobile App,PayPal,0,1275.68,0,1275.68,8
O00089,C0442,8/10/2022,August,Q3,2022,Pending,In-Store,Credit Card,0.15,1266.16,0,1266.16,
O00090,C0021,4/27/2023,April,Q2,2023,Delivered,Mobile App,Apple Pay,0.05,85.45,7.43,92.88,2
O00091,C0286,1/13/2022,January,Q1,2022,Returned,Mobile App,PayPal,0,852.51,0,852.51,
O00092,C0238,5/22/2022,May,Q2,2022,Delivered,In-Store,Apple Pay,0.15,1411.66,0,1411.66,9
O00093,C0295,8/1/2022,August,Q3,2022,Delivered,Online,Google Pay,0.15,120.92,0,120.92,7
O00094,C0188,4/22/2023,April,Q2,2023,Delivered,In-Store,Debit Card,0.15,305.25,0,305.25,9
O00095,C0364,7/29/2022,July,Q3,2022,Delivered,Mobile App,Google Pay,0,1027.95,0,1027.95,13
O00096,C0382,8/19/2022,August,Q3,2022,Delivered,In-Store,Google Pay,0.15,694.61,0,694.61,9
O00097,C0425,5/6/2022,May,Q2,2022,Cancelled,Online,Google Pay,0,917.94,0,917.94,
O00098,C0085,10/10/2022,October,Q4,2022,Delivered,Online,Debit Card,0.2,435.18,0,435.18,5
O00099,C0214,11/30/2023,November,Q4,2023,Pending,In-Store,Apple Pay,0.05,593.18,0,593.18,
O00100,C0447,8/26/2022,August,Q3,2022,Delivered,Mobile App,PayPal,0.15,887.3,0,887.3,10
O00101,C0068,11/10/2022,November,Q4,2022,Cancelled,Mobile App,Apple Pay,0,625.96,0,625.96,
O00102,C0490,6/20/2022,June,Q2,2022,Cancelled,Mobile App,Debit Card,0.2,137.02,0,137.02,
O00103,C0022,11/21/2022,November,Q4,2022,Pending,In-Store,PayPal,0,903.06,0,903.06,
O00104,C0177,6/1/2022,June,Q2,2022,Pending,Mobile App,Debit Card,0.1,915.6,0,915.6,
O00105,C0003,7/14/2023,July,Q3,2023,Cancelled,Online,PayPal,0.2,705.28,0,705.28,
O00106,C0461,2/11/2022,February,Q1,2022,Delivered,In-Store,Credit Card,0.05,409.97,0,409.97,1
O00107,C0312,10/19/2023,October,Q4,2023,Returned,In-Store,Debit Card,0,901.68,0,901.68,
O00108,C0100,5/18/2023,May,Q2,2023,Delivered,In-Store,Apple Pay,0,987.06,0,987.06,8
O00109,C0448,7/29/2023,July,Q3,2023,Returned,Online,Apple Pay,0.2,208.22,0,208.22,
O00110,C0413,3/11/2023,March,Q1,2023,Delivered,Mobile App,Google Pay,0,1191.81,0,1191.81,11
O00111,C0469,10/7/2022,October,Q4,2022,Delivered,Mobile App,Apple Pay,0.15,1035.98,0,1035.98,8
O00112,C0287,4/20/2023,April,Q2,2023,Delivered,Online,Debit Card,0,509.58,0,509.58,7
O00113,C0092,5/19/2023,May,Q2,2023,Delivered,Online,PayPal,0.05,723.06,0,723.06,10
O00114,C0224,9/22/2022,September,Q3,2022,Delivered,In-Store,Google Pay,0.15,707.21,0,707.21,1
O00115,C0140,1/5/2023,January,Q1,2023,Delivered,Online,PayPal,0,738.72,0,738.72,14
O00116,C0433,12/3/2023,December,Q4,2023,Cancelled,In-Store,Credit Card,0.1,611.03,0,611.03,
O00117,C0211,12/15/2022,December,Q4,2022,Delivered,Mobile App,Debit Card,0.1,1050.81,0,1050.81,14
O00118,C0273,12/31/2023,December,Q4,2023,Delivered,Online,Credit Card,0,154.8,0,154.8,6
O00119,C0160,12/9/2023,December,Q4,2023,Delivered,Online,Google Pay,0.1,896.62,0,896.62,12
O00120,C0117,11/11/2022,November,Q4,2022,Returned,Mobile App,Credit Card,0.05,461.7,0,461.7,
O00121,C0022,7/21/2022,July,Q3,2022,Delivered,Mobile App,Google Pay,0,174.13,0,174.13,1
O00122,C0034,11/5/2022,November,Q4,2022,Delivered,Online,Google Pay,0,86.04,10.06,96.1,1
O00123,C0047,5/30/2022,May,Q2,2022,Delivered,In-Store,Debit Card,0.2,761.78,0,761.78,9
O00124,C0112,7/16/2022,July,Q3,2022,Delivered,Mobile App,Credit Card,0.15,553.01,0,553.01,11
O00125,C0491,4/20/2022,April,Q2,2022,Delivered,Online,Apple Pay,0,717.12,0,717.12,8
O00126,C0057,6/17/2023,June,Q2,2023,Pending,In-Store,PayPal,0.1,367.82,0,367.82,
O00127,C0146,4/13/2023,April,Q2,2023,Pending,Mobile App,Google Pay,0.05,926.74,0,926.74,
O00128,C0346,5/19/2023,May,Q2,2023,Delivered,Online,Google Pay,0.15,176.42,0,176.42,3
O00129,C0203,2/15/2023,February,Q1,2023,Delivered,Online,PayPal,0,143.9,0,143.9,14
O00130,C0207,5/6/2022,May,Q2,2022,Delivered,Online,PayPal,0.2,362.48,0,362.48,11
O00131,C0309,2/19/2023,February,Q1,2023,Cancelled,Mobile App,Apple Pay,0,631.81,0,631.81,
O00132,C0348,1/28/2022,January,Q1,2022,Delivered,Mobile App,PayPal,0,794.15,0,794.15,13
O00133,C0253,4/23/2023,April,Q2,2023,Cancelled,Online,Apple Pay,0.1,1145.79,0,1145.79,
O00134,C0488,2/2/2022,February,Q1,2022,Delivered,Online,Apple Pay,0,1490.36,0,1490.36,3
O00135,C0160,2/3/2023,February,Q1,2023,Delivered,Mobile App,Apple Pay,0.15,1653.44,0,1653.44,8
O00136,C0303,1/22/2023,January,Q1,2023,Cancelled,In-Store,Credit Card,0,882.27,0,882.27,
O00137,C0195,4/10/2022,April,Q2,2022,Delivered,In-Store,Apple Pay,0,1639.18,0,1639.18,6
O00138,C0087,1/21/2022,January,Q1,2022,Delivered,Online,Apple Pay,0.1,803.31,0,803.31,10
O00139,C0200,11/27/2022,November,Q4,2022,Pending,Online,Debit Card,0,127.29,0,127.29,
O00140,C0086,9/22/2023,September,Q3,2023,Delivered,Online,Debit Card,0.05,1193.23,0,1193.23,7
O00141,C0412,8/20/2022,August,Q3,2022,Delivered,Mobile App,PayPal,0,250.86,0,250.86,8
O00142,C0219,8/3/2022,August,Q3,2022,Delivered,In-Store,Google Pay,0.2,530.21,0,530.21,10
O00143,C0264,4/10/2023,April,Q2,2023,Delivered,Mobile App,Debit Card,0.1,366.89,0,366.89,13
O00144,C0315,3/21/2023,March,Q1,2023,Returned,In-Store,Apple Pay,0,106.93,0,106.93,
O00145,C0433,3/22/2023,March,Q1,2023,Delivered,Online,Debit Card,0.2,1045.8,0,1045.8,3
O00146,C0099,1/29/2022,January,Q1,2022,Cancelled,Online,Apple Pay,0.1,835.83,0,835.83,
O00147,C0140,5/20/2022,May,Q2,2022,Cancelled,In-Store,Google Pay,0,108.05,0,108.05,
O00148,C0401,1/21/2022,January,Q1,2022,Delivered,In-Store,Google Pay,0,466.4,0,466.4,11
O00149,C0337,4/3/2022,April,Q2,2022,Delivered,Mobile App,Credit Card,0.1,911.34,0,911.34,13
O00150,C0414,11/17/2022,November,Q4,2022,Delivered,Mobile App,Apple Pay,0,1164.57,0,1164.57,1
O00151,C0252,7/1/2023,July,Q3,2023,Delivered,In-Store,Google Pay,0.05,1162.43,0,1162.43,14
O00152,C0158,1/22/2022,January,Q1,2022,Delivered,Mobile App,PayPal,0.1,342.22,0,342.22,13
O00153,C0351,5/5/2022,May,Q2,2022,Pending,Online,Credit Card,0.05,497.82,0,497.82,
O00154,C0441,6/14/2022,June,Q2,2022,Delivered,Online,Credit Card,0,1223.56,0,1223.56,6
O00155,C0216,9/9/2023,September,Q3,2023,Pending,Online,Credit Card,0.15,492.55,0,492.55,
O00156,C0161,8/13/2023,August,Q3,2023,Delivered,Mobile App,Debit Card,0.1,155.97,0,155.97,11
O00157,C0211,11/24/2022,November,Q4,2022,Pending,Mobile App,PayPal,0,896.17,0,896.17,
O00158,C0115,1/22/2022,January,Q1,2022,Returned,Online,Apple Pay,0,430.26,0,430.26,
O00159,C0026,2/15/2023,February,Q1,2023,Cancelled,Mobile App,Credit Card,0,1354.19,0,1354.19,
O00160,C0366,7/28/2022,July,Q3,2022,Cancelled,In-Store,Apple Pay,0.05,230.71,0,230.71,
O00161,C0373,11/25/2023,November,Q4,2023,Delivered,Mobile App,Apple Pay,0.2,352.74,0,352.74,8
O00162,C0465,9/12/2022,September,Q3,2022,Pending,Online,Credit Card,0.05,695.2,0,695.2,
O00163,C0377,9/4/2023,September,Q3,2023,Delivered,Online,Google Pay,0,950.85,0,950.85,1
O00164,C0130,6/1/2023,June,Q2,2023,Cancelled,Online,PayPal,0,1012.65,0,1012.65,
O00165,C0163,12/29/2023,December,Q4,2023,Delivered,In-Store,Credit Card,0,1059.39,0,1059.39,6
O00166,C0224,6/18/2022,June,Q2,2022,Pending,Mobile App,Google Pay,0.2,451.93,0,451.93,
O00167,C0019,4/27/2023,April,Q2,2023,Delivered,Online,Apple Pay,0,900.04,0,900.04,14
O00168,C0369,6/1/2022,June,Q2,2022,Delivered,Online,Debit Card,0.2,138.78,0,138.78,12
O00169,C0261,10/7/2022,October,Q4,2022,Delivered,Mobile App,Google Pay,0,845.36,0,845.36,6
O00170,C0014,10/19/2022,October,Q4,2022,Delivered,In-Store,Google Pay,0,108.54,0,108.54,2
O00171,C0236,12/26/2023,December,Q4,2023,Pending,In-Store,Google Pay,0.15,910.92,0,910.92,
O00172,C0166,2/26/2022,February,Q1,2022,Delivered,Online,Apple Pay,0,123.12,0,123.12,2
O00173,C0011,8/2/2022,August,Q3,2022,Delivered,Online,PayPal,0.15,560.74,0,560.74,12
O00174,C0413,11/14/2022,November,Q4,2022,Delivered,Online,PayPal,0.1,334.06,0,334.06,10
O00175,C0308,3/10/2023,March,Q1,2023,Delivered,In-Store,Google Pay,0,731.07,0,731.07,2
O00176,C0021,6/10/2023,June,Q2,2023,Pending,Mobile App,Debit Card,0.05,1178.67,0,1178.67,
O00177,C0465,5/5/2023,May,Q2,2023,Delivered,Mobile App,PayPal,0.2,451.3,0,451.3,9
O00178,C0056,6/7/2023,June,Q2,2023,Delivered,Online,Apple Pay,0.15,1250.82,0,1250.82,14
O00179,C0202,2/16/2022,February,Q1,2022,Delivered,In-Store,PayPal,0.1,432.06,0,432.06,10
O00180,C0414,9/29/2022,September,Q3,2022,Delivered,Mobile App,Debit Card,0,962.8,0,962.8,2
O00181,C0007,6/25/2022,June,Q2,2022,Pending,Online,Google Pay,0.15,946.61,0,946.61,
O00182,C0058,1/17/2022,January,Q1,2022,Delivered,Mobile App,Apple Pay,0.15,583.82,0,583.82,4
O00183,C0045,11/5/2022,November,Q4,2022,Delivered,Online,Apple Pay,0,1301.44,0,1301.44,5
O00184,C0292,2/6/2023,February,Q1,2023,Delivered,Online,Credit Card,0.15,149.68,0,149.68,12
O00185,C0297,9/3/2023,September,Q3,2023,Delivered,Online,Apple Pay,0.05,1121.47,0,1121.47,7
O00186,C0296,11/20/2022,November,Q4,2022,Cancelled,Online,Apple Pay,0,489.93,0,489.93,
O00187,C0230,12/16/2023,December,Q4,2023,Delivered,Mobile App,PayPal,0.15,1124.29,0,1124.29,3
O00188,C0453,10/28/2022,October,Q4,2022,Delivered,In-Store,Apple Pay,0.2,807.99,0,807.99,10
O00189,C0252,4/14/2022,April,Q2,2022,Pending,In-Store,Debit Card,0,1189.78,0,1189.78,
O00190,C0173,3/17/2023,March,Q1,2023,Returned,Online,Google Pay,0,420.44,0,420.44,
O00191,C0402,12/30/2022,December,Q4,2022,Cancelled,Mobile App,Google Pay,0.1,32.48,13.9,46.38,
O00192,C0225,4/14/2023,April,Q2,2023,Delivered,Mobile App,Google Pay,0.2,234.93,0,234.93,9
O00193,C0054,6/21/2022,June,Q2,2022,Returned,In-Store,Debit Card,0.15,588.45,0,588.45,
O00194,C0391,6/3/2023,June,Q2,2023,Delivered,Mobile App,PayPal,0,1119.19,0,1119.19,2
O00195,C0137,1/17/2023,January,Q1,2023,Delivered,Mobile App,Debit Card,0.2,1009.2,0,1009.2,3
O00196,C0395,1/11/2022,January,Q1,2022,Delivered,In-Store,PayPal,0.05,245.08,0,245.08,7
O00197,C0389,2/7/2022,February,Q1,2022,Delivered,Mobile App,PayPal,0.05,818.41,0,818.41,6
O00198,C0005,10/14/2022,October,Q4,2022,Delivered,Online,Debit Card,0.1,892.77,0,892.77,13
O00199,C0401,10/27/2023,October,Q4,2023,Returned,In-Store,Credit Card,0,1453.61,0,1453.61,
O00200,C0267,12/15/2022,December,Q4,2022,Delivered,Online,Google Pay,0.1,653.16,0,653.16,12
O00201,C0031,1/17/2023,January,Q1,2023,Delivered,Online,Credit Card,0.2,1078.16,0,1078.16,4
O00202,C0413,8/19/2023,August,Q3,2023,Delivered,In-Store,PayPal,0.15,510.75,0,510.75,2
O00203,C0168,6/13/2023,June,Q2,2023,Delivered,Online,Credit Card,0,299.02,0,299.02,3
O00204,C0244,8/8/2022,August,Q3,2022,Delivered,In-Store,Google Pay,0.05,680.3,0,680.3,14
O00205,C0084,5/28/2022,May,Q2,2022,Pending,Online,Debit Card,0.15,256.77,0,256.77,
O00206,C0017,6/10/2022,June,Q2,2022,Delivered,Mobile App,Apple Pay,0,756.65,0,756.65,5
O00207,C0192,11/7/2022,November,Q4,2022,Pending,Online,Debit Card,0,798.42,0,798.42,
O00208,C0002,5/6/2022,May,Q2,2022,Delivered,Online,Apple Pay,0.05,944.35,0,944.35,3
O00209,C0391,5/22/2022,May,Q2,2022,Pending,Online,Debit Card,0.2,709,0,709,
O00210,C0491,11/18/2023,November,Q4,2023,Cancelled,Online,Debit Card,0.15,1344.44,0,1344.44,
O00211,C0296,2/24/2022,February,Q1,2022,Pending,Mobile App,Credit Card,0,409.29,0,409.29,
O00212,C0126,12/24/2023,December,Q4,2023,Delivered,Mobile App,Google Pay,0,776.75,0,776.75,7
O00213,C0132,4/4/2022,April,Q2,2022,Delivered,Mobile App,Debit Card,0,162.79,0,162.79,13
O00214,C0046,6/7/2022,June,Q2,2022,Delivered,Mobile App,Credit Card,0.1,476.49,0,476.49,3
O00215,C0212,11/28/2022,November,Q4,2022,Delivered,Online,Credit Card,0,671.89,0,671.89,5
O00216,C0032,11/22/2022,November,Q4,2022,Delivered,Online,Apple Pay,0,1793.32,0,1793.32,5
O00217,C0291,2/21/2023,February,Q1,2023,Delivered,Mobile App,Debit Card,0.2,771.87,0,771.87,14
O00218,C0318,10/24/2022,October,Q4,2022,Delivered,Online,Apple Pay,0,905.86,0,905.86,10
O00219,C0431,6/7/2023,June,Q2,2023,Delivered,Mobile App,Google Pay,0.1,398.71,0,398.71,4
O00220,C0313,6/1/2023,June,Q2,2023,Delivered,In-Store,Apple Pay,0,972.2,0,972.2,12
O00221,C0069,10/24/2023,October,Q4,2023,Pending,Online,Credit Card,0.15,396.86,0,396.86,
O00222,C0459,12/15/2023,December,Q4,2023,Delivered,Mobile App,Credit Card,0.2,1640.18,0,1640.18,7
O00223,C0091,12/15/2023,December,Q4,2023,Delivered,Online,PayPal,0,130.14,0,130.14,12
O00224,C0011,10/15/2022,October,Q4,2022,Returned,Online,Google Pay,0.15,723.04,0,723.04,
O00225,C0108,1/8/2022,January,Q1,2022,Delivered,Online,PayPal,0.1,259.34,0,259.34,11
O00226,C0350,9/10/2023,September,Q3,2023,Delivered,Mobile App,Debit Card,0.15,504.07,0,504.07,12
O00227,C0401,10/8/2022,October,Q4,2022,Delivered,Mobile App,Google Pay,0,704.98,0,704.98,14
O00228,C0481,11/27/2022,November,Q4,2022,Delivered,In-Store,Credit Card,0.15,1193.86,0,1193.86,8
O00229,C0162,1/6/2022,January,Q1,2022,Returned,In-Store,Credit Card,0.1,580.81,0,580.81,
O00230,C0015,5/7/2023,May,Q2,2023,Delivered,Mobile App,PayPal,0.2,1050.7,0,1050.7,10
O00231,C0225,4/8/2022,April,Q2,2022,Delivered,Online,Credit Card,0,1306.8,0,1306.8,2
O00232,C0053,11/25/2023,November,Q4,2023,Delivered,In-Store,Apple Pay,0.05,438.21,0,438.21,4
O00233,C0443,9/6/2023,September,Q3,2023,Pending,Online,Apple Pay,0.2,403.74,0,403.74,
O00234,C0052,12/14/2022,December,Q4,2022,Pending,Mobile App,PayPal,0.1,157.35,0,157.35,
O00235,C0007,9/2/2023,September,Q3,2023,Returned,Mobile App,Debit Card,0.15,274.74,0,274.74,
O00236,C0216,5/8/2023,May,Q2,2023,Delivered,Mobile App,Debit Card,0.2,1645.39,0,1645.39,3
O00237,C0241,11/13/2022,November,Q4,2022,Cancelled,In-Store,Credit Card,0.1,731.77,0,731.77,
O00238,C0217,12/19/2022,December,Q4,2022,Returned,Mobile App,Credit Card,0,710.04,0,710.04,
O00239,C0437,8/16/2023,August,Q3,2023,Cancelled,Online,PayPal,0,825.51,0,825.51,
O00240,C0239,10/1/2023,October,Q4,2023,Returned,Online,PayPal,0.2,314.02,0,314.02,
O00241,C0006,3/17/2022,March,Q1,2022,Delivered,Mobile App,Credit Card,0,1204.35,0,1204.35,4
O00242,C0146,6/28/2022,June,Q2,2022,Cancelled,Mobile App,PayPal,0.2,273.18,0,273.18,
O00243,C0432,9/26/2022,September,Q3,2022,Delivered,Mobile App,Apple Pay,0.15,371.66,0,371.66,5
O00244,C0234,9/3/2022,September,Q3,2022,Delivered,Mobile App,Google Pay,0.2,533.06,0,533.06,7
O00245,C0356,1/19/2023,January,Q1,2023,Delivered,Mobile App,Credit Card,0.2,618.18,0,618.18,11
O00246,C0408,10/14/2022,October,Q4,2022,Pending,Mobile App,Credit Card,0.2,526.27,0,526.27,
O00247,C0199,10/23/2023,October,Q4,2023,Pending,Mobile App,Apple Pay,0,858.27,0,858.27,
O00248,C0298,2/15/2023,February,Q1,2023,Returned,Mobile App,Debit Card,0.05,249.14,0,249.14,
O00249,C0157,3/12/2023,March,Q1,2023,Delivered,In-Store,PayPal,0.1,730.22,0,730.22,6
O00250,C0219,4/7/2023,April,Q2,2023,Delivered,Online,PayPal,0.2,847.22,0,847.22,5
O00251,C0432,5/29/2023,May,Q2,2023,Cancelled,Mobile App,Credit Card,0,367.92,0,367.92,
O00252,C0280,7/25/2022,July,Q3,2022,Returned,In-Store,PayPal,0,1425.38,0,1425.38,
O00253,C0395,11/3/2022,November,Q4,2022,Delivered,Online,Apple Pay,0.2,463.74,0,463.74,12
