item_id,order_id,product_id,product_name,brand,category,size,quantity,unit_price,discount_pct,discount_amount,line_total
I00132,O00054,P0147,Skechers Running Classic,Skechers,Running,45,3,75.81,0.1,7.58,204.69
I00133,O00054,P0014,Nike Sandals Classic,Nike,Sandals,40,1,62.88,0.1,6.29,56.59
I00134,O00055,P0158,Skechers Sandals Pro,Skechers,Sandals,40,2,148.87,0,0.00,297.74
I00135,O00055,P0072,Reebok Boots Pro,Reebok,Boots,37,1,119.16,0,0.00,119.16
I00136,O00056,P0180,Clarks Boots Pro,Clarks,Boots,38,2,207.68,0,0.00,415.36
I00137,O00056,P0061,Reebok Formal Pro,Reebok,Formal,36,3,131.13,0,0.00,393.39
I00138,O00057,P0099,Vans Formal Classic,Vans,Formal,43,3,190.12,0.2,38.02,456.3
I00139,O00057,P0061,Reebok Formal Pro,Reebok,Formal,38,3,131.13,0.2,26.23,314.7
I00140,O00058,P0119,Converse Sports Classic,Converse,Sports,43,2,206.66,0,0.00,413.32
I00141,O00059,P0038,Puma Running Classic,Puma,Running,36,2,166.96,0,0.00,333.92
I00142,O00059,P0136,Timberland Sports Classic,Timberland,Sports,43,2,105.48,0,0.00,210.96
I00143,O00060,P0111,Converse Running Classic,Converse,Running,40,3,88.05,0.2,17.61,211.32
I00144,O00061,P0173,Clarks Sports Classic,Clarks,Sports,39,3,175.02,0.05,8.75,498.81
I00145,O00062,P0003,Nike Running Classic,Nike,Running,37,1,157.33,0.1,15.73,141.6
I00146,O00062,P0173,Clarks Sports Classic,Clarks,Sports,42,1,175.02,0.1,17.50,157.52
I00147,O00063,P0050,Puma Sandals Classic,Puma,Sandals,36,1,174.83,0,0.00,174.83
I00148,O00063,P0009,Nike Formal Pro,Nike,Formal,39,3,261.69,0,0.00,785.07
I00149,O00063,P0007,Nike Formal Classic,Nike,Formal,37,3,186.68,0,0.00,560.04
I00150,O00063,P0159,Skechers Sandals Pro,Skechers,Sandals,37,3,141.21,0,0.00,423.63
I00151,O00064,P0179,Clarks Boots Pro,Clarks,Boots,40,2,89.95,0,0.00,179.9
I00152,O00064,P0048,Puma Sports Classic,Puma,Sports,37,2,161.47,0,0.00,322.94
I00153,O00065,P0019,Adidas Running Classic,Adidas,Running,41,2,183.96,0.2,36.79,294.34
I00154,O00065,P0071,Reebok Boots Classic,Reebok,Boots,40,1,246.89,0.2,49.38,197.51
I00155,O00065,P0016,Nike Boots Classic,Nike,Boots,38,2,242.75,0.2,48.55,388.4
I00156,O00065,P0098,Vans Formal Classic,Vans,Formal,37,2,104.27,0.2,20.85,166.84
I00157,O00066,P0139,Timberland Sandals Pro,Timberland,Sandals,37,3,289.39,0,0.00,868.17
I00158,O00066,P0111,Converse Running Classic,Converse,Running,40,2,88.05,0,0.00,176.1
I00159,O00066,P0056,Reebok Running Classic,Reebok,Running,36,1,256.82,0,0.00,256.82
I00160,O00066,P0158,Skechers Sandals Pro,Skechers,Sandals,37,1,148.87,0,0.00,148.87
I00161,O00067,P0164,Clarks Running Classic,Clarks,Running,40,2,205.8,0.15,30.87,349.86
I00162,O00067,P0001,Nike Running Classic,Nike,Running,41,1,128.64,0.15,19.30,109.34
I00163,O00067,P0010,Nike Sports Pro,Nike,Sports,45,2,198.22,0.15,29.73,336.98
I00164,O00067,P0171,Clarks Formal Classic,Clarks,Formal,44,1,76.64,0.15,11.50,65.14
I00165,O00068,P0058,Reebok Casual Classic,Reebok,Casual,37,2,163.52,0.1,16.35,294.34
I00166,O00068,P0001,Nike Running Classic,Nike,Running,44,3,128.64,0.1,12.86,347.34
I00167,O00068,P0099,Vans Formal Classic,Vans,Formal,41,2,190.12,0.1,19.01,342.22
I00168,O00068,P0177,Clarks Sandals Classic,Clarks,Sandals,40,3,48.76,0.1,4.88,131.64
I00169,O00069,P0118,Converse Sports Pro,Converse,Sports,39,2,199.3,0,0.00,398.6
I00170,O00070,P0162,Skechers Boots Pro,Skechers,Boots,43,1,201.91,0,0.00,201.91
I00171,O00070,P0177,Clarks Sandals Classic,Clarks,Sandals,39,3,48.76,0,0.00,146.28
I00172,O00070,P0092,Vans Running Classic,Vans,Running,36,1,154.87,0,0.00,154.87
I00173,O00070,P0125,Converse Boots Pro,Converse,Boots,36,1,210.22,0,0.00,210.22
I00174,O00071,P0139,Timberland Sandals Pro,Timberland,Sandals,43,2,289.39,0.2,57.88,463.02
I00175,O00071,P0165,Clarks Running Classic,Clarks,Running,43,3,108.05,0.2,21.61,259.32
I00176,O00072,P0011,Nike Sports Pro,Nike,Sports,37,2,156.57,0.2,31.31,250.52
I00177,O00073,P0010,Nike Sports Pro,Nike,Sports,43,1,198.22,0,0.00,198.22
I00178,O00073,P0037,Puma Running Classic,Puma,Running,36,3,162.79,0,0.00,488.37
I00179,O00073,P0126,Converse Boots Classic,Converse,Boots,38,1,50.24,0,0.00,50.24
I00180,O00073,P0168,Clarks Casual Classic,Clarks,Casual,38,1,162.07,0,0.00,162.07
I00181,O00074,P0152,Skechers Formal Classic,Skechers,Formal,37,1,136.34,0.2,27.27,109.07
I00182,O00075,P0174,Clarks Sports Pro,Clarks,Sports,37,2,207.55,0,0.00,415.1
I00183,O00075,P0103,Vans Sandals Pro,Vans,Sandals,45,3,131.97,0,0.00,395.91
I00184,O00076,P0017,Nike Boots Pro,Nike,Boots,38,2,233.2,0,0.00,466.4
I00185,O00076,P0031,Adidas Sandals Classic,Adidas,Sandals,38,2,137.65,0,0.00,275.3
I00186,O00077,P0035,Adidas Boots Classic,Adidas,Boots,45,3,61.13,0,0.00,183.39
I00187,O00077,P0026,Adidas Formal Pro,Adidas,Formal,38,2,75.01,0,0.00,150.02
I00188,O00078,P0167,Clarks Casual Classic,Clarks,Casual,40,3,173.3,0,0.00,519.9
I00189,O00079,P0116,Converse Formal Pro,Converse,Formal,38,1,48.53,0.1,4.85,43.68
I00190,O00079,P0106,Vans Boots Pro,Vans,Boots,36,3,101.39,0.1,10.14,273.75
I00191,O00080,P0002,Nike Running Classic,Nike,Running,44,1,108.24,0.05,5.41,102.83
I00192,O00080,P0143,Timberland Boots Classic,Timberland,Boots,45,1,198.02,0.05,9.90,188.12
I00193,O00080,P0061,Reebok Formal Pro,Reebok,Formal,44,2,131.13,0.05,6.56,249.14
I00194,O00080,P0050,Puma Sandals Classic,Puma,Sandals,39,3,174.83,0.05,8.74,498.27
I00195,O00081,P0039,Puma Running Classic,Puma,Running,43,2,84.43,0,0.00,168.86
I00196,O00081,P0176,Clarks Sandals Classic,Clarks,Sandals,38,1,242.24,0,0.00,242.24
I00197,O00082,P0065,Reebok Sports Pro,Reebok,Sports,45,2,197.81,0.05,9.89,375.84
I00198,O00083,P0041,Puma Casual Classic,Puma,Casual,43,1,103.61,0,0.00,103.61
I00199,O00084,P0108,Vans Boots Pro,Vans,Boots,41,3,98.67,0,0.00,296.01
I00200,O00084,P0051,Puma Sandals Classic,Puma,Sandals,37,1,167.23,0,0.00,167.23
I00201,O00085,P0057,Reebok Running Classic,Reebok,Running,43,1,149.13,0.05,7.46,141.67
I00202,O00086,P0117,Converse Formal Pro,Converse,Formal,42,1,160.02,0.1,16.00,144.02
I00203,O00087,P0033,Adidas Sandals Pro,Adidas,Sandals,45,3,126.62,0,0.00,379.86
I00204,O00087,P0009,Nike Formal Pro,Nike,Formal,40,1,261.69,0,0.00,261.69
I00205,O00088,P0076,New Balance Casual Pro,New Balance,Casual,38,3,73.12,0,0.00,219.36
I00206,O00088,P0155,Skechers Sports Pro,Skechers,Sports,44,3,180.37,0,0.00,541.11
I00207,O00088,P0041,Puma Casual Classic,Puma,Casual,37,1,103.61,0,0.00,103.61
I00208,O00088,P0164,Clarks Running Classic,Clarks,Running,44,2,205.8,0,0.00,411.6
I00209,O00089,P0110,Converse Running Classic,Converse,Running,39,3,168.23,0.15,25.23,429
I00210,O00089,P0064,Reebok Sports Pro,Reebok,Sports,38,3,131.53,0.15,19.73,335.4
I00211,O00089,P0084,New Balance Sports Pro,New Balance,Sports,36,3,34.31,0.15,5.15,87.48
I00212,O00089,P0112,Converse Casual Pro,Converse,Casual,36,2,243.69,0.15,36.55,414.28
I00213,O00090,P0179,Clarks Boots Pro,Clarks,Boots,43,1,89.95,0.05,4.50,85.45
I00214,O00091,P0062,Reebok Formal Classic,Reebok,Formal,40,2,106.93,0,0.00,213.86
I00215,O00091,P0166,Clarks Casual Pro,Clarks,Casual,43,1,173.51,0,0.00,173.51
I00216,O00091,P0024,Adidas Casual Pro,Adidas,Casual,45,3,117.98,0,0.00,353.94
I00217,O00091,P0005,Nike Casual Classic,Nike,Casual,43,1,111.2,0,0.00,111.2
I00218,O00092,P0163,Clarks Running Classic,Clarks,Running,41,2,291.91,0.15,43.79,496.24
I00219,O00092,P0001,Nike Running Classic,Nike,Running,36,3,128.64,0.15,19.30,328.02
I00220,O00092,P0161,Skechers Boots Pro,Skechers,Boots,42,2,161.57,0.15,24.24,274.66
I00221,O00092,P0019,Adidas Running Classic,Adidas,Running,45,2,183.96,0.15,27.59,312.74
I00222,O00093,P0094,Vans Casual Classic,Vans,Casual,37,1,142.26,0.15,21.34,120.92
I00223,O00094,P0144,Timberland Boots Pro,Timberland,Boots,37,3,119.7,0.15,17.96,305.25
I00224,O00095,P0167,Clarks Casual Classic,Clarks,Casual,45,3,173.3,0,0.00,519.9
I00225,O00095,P0123,Converse Sandals Classic,Converse,Sandals,39,3,169.35,0,0.00,508.05
I00226,O00096,P0109,Converse Running Pro,Converse,Running,41,1,197.63,0.15,29.64,167.99
I00227,O00096,P0071,Reebok Boots Classic,Reebok,Boots,43,2,246.89,0.15,37.03,419.72
I00228,O00096,P0014,Nike Sandals Classic,Nike,Sandals,44,2,62.88,0.15,9.43,106.9
I00229,O00097,P0173,Clarks Sports Classic,Clarks,Sports,37,2,175.02,0,0.00,350.04
I00230,O00097,P0178,Clarks Boots Pro,Clarks,Boots,42,1,94.64,0,0.00,94.64
I00231,O00097,P0017,Nike Boots Pro,Nike,Boots,40,1,233.2,0,0.00,233.2
I00232,O00097,P0049,Puma Sandals Pro,Puma,Sandals,37,1,240.06,0,0.00,240.06
I00233,O00098,P0053,Puma Boots Classic,Puma,Boots,36,3,181.32,0.2,36.26,435.18
I00234,O00099,P0166,Clarks Casual Pro,Clarks,Casual,39,2,173.51,0.05,8.68,329.66
I00235,O00099,P0006,Nike Casual Pro,Nike,Casual,36,1,277.39,0.05,13.87,263.52
I00236,O00100,P0166,Clarks Casual Pro,Clarks,Casual,44,3,173.51,0.15,26.03,442.44
I00237,O00100,P0084,New Balance Sports Pro,New Balance,Sports,43,3,34.31,0.15,5.15,87.48
I00238,O00100,P0125,Converse Boots Pro,Converse,Boots,40,2,210.22,0.15,31.53,357.38
I00239,O00101,P0074,New Balance Running Pro,New Balance,Running,41,1,274.18,0,0.00,274.18
I00240,O00101,P0013,Nike Sandals Pro,Nike,Sandals,43,2,175.89,0,0.00,351.78
I00241,O00102,P0178,Clarks Boots Pro,Clarks,Boots,38,1,94.64,0.2,18.93,75.71
I00242,O00102,P0171,Clarks Formal Classic,Clarks,Formal,37,1,76.64,0.2,15.33,61.31
I00243,O00103,P0053,Puma Boots Classic,Puma,Boots,36,3,181.32,0,0.00,543.96
I00244,O00103,P0144,Timberland Boots Pro,Timberland,Boots,41,3,119.7,0,0.00,359.1
I00245,O00104,P0078,New Balance Casual Pro,New Balance,Casual,43,2,201.57,0.1,20.16,362.82
I00246,O00104,P0032,Adidas Sandals Pro,Adidas,Sandals,43,1,240.85,0.1,24.09,216.76
I00247,O00104,P0007,Nike Formal Classic,Nike,Formal,38,2,186.68,0.1,18.67,336.02
I00248,O00105,P0147,Skechers Running Classic,Skechers,Running,43,3,75.81,0.2,15.16,181.95
I00249,O00105,P0171,Clarks Formal Classic,Clarks,Formal,37,2,76.64,0.2,15.33,122.62
I00250,O00105,P0038,Puma Running Classic,Puma,Running,43,3,166.96,0.2,33.39,400.71
I00251,O00106,P0159,Skechers Sandals Pro,Skechers,Sandals,41,2,141.21,0.05,7.06,268.3
I00252,O00106,P0057,Reebok Running Classic,Reebok,Running,41,1,149.13,0.05,7.46,141.67
I00253,O00107,P0022,Adidas Casual Pro,Adidas,Casual,37,2,95.55,0,0.00,191.1
I00254,O00107,P0138,Timberland Sports Pro,Timberland,Sports,42,3,236.86,0,0.00,710.58
I00255,O00108,P0110,Converse Running Classic,Converse,Running,36,2,168.23,0,0.00,336.46
I00256,O00108,P0095,Vans Casual Classic,Vans,Casual,41,2,135.18,0,0.00,270.36
I00257,O00108,P0099,Vans Formal Classic,Vans,Formal,40,2,190.12,0,0.00,380.24
I00258,O00109,P0114,Converse Casual Pro,Converse,Casual,38,2,130.14,0.2,26.03,208.22
I00259,O00110,P0037,Puma Running Classic,Puma,Running,41,3,162.79,0,0.00,488.37
I00260,O00110,P0054,Puma Boots Classic,Puma,Boots,45,1,118.57,0,0.00,118.57
I00261,O00110,P0078,New Balance Casual Pro,New Balance,Casual,37,2,201.57,0,0.00,403.14
I00262,O00110,P0122,Converse Sandals Classic,Converse,Sandals,42,1,181.73,0,0.00,181.73
I00263,O00111,P0146,Skechers Running Pro,Skechers,Running,40,2,223.18,0.15,33.48,379.4
I00264,O00111,P0036,Adidas Boots Pro,Adidas,Boots,43,3,50.89,0.15,7.63,129.78
I00265,O00111,P0052,Puma Boots Classic,Puma,Boots,40,1,135.35,0.15,20.30,115.05
I00266,O00111,P0048,Puma Sports Classic,Puma,Sports,40,3,161.47,0.15,24.22,411.75
I00267,O00112,P0077,New Balance Casual Pro,New Balance,Casual,43,3,101.26,0,0.00,303.78
I00268,O00112,P0164,Clarks Running Classic,Clarks,Running,40,1,205.8,0,0.00,205.8
I00269,O00113,P0018,Nike Boots Classic,Nike,Boots,41,3,83.62,0.05,4.18,238.32
I00270,O00113,P0154,Skechers Sports Pro,Skechers,Sports,43,3,170.08,0.05,8.50,484.74
I00271,O00114,P0148,Skechers Casual Classic,Skechers,Casual,36,3,72.04,0.15,10.81,183.69
I00272,O00114,P0005,Nike Casual Classic,Nike,Casual,41,1,111.2,0.15,16.68,94.52
I00273,O00114,P0067,Reebok Sandals Pro,Reebok,Sandals,38,2,202.47,0.15,30.37,344.2
I00274,O00114,P0042,Puma Casual Classic,Puma,Casual,38,2,49.88,0.15,7.48,84.8
I00275,O00115,P0136,Timberland Sports Classic,Timberland,Sports,38,1,105.48,0,0.00,105.48
I00276,O00115,P0164,Clarks Running Classic,Clarks,Running,45,1,205.8,0,0.00,205.8
